File Name,version number,program name,program number,program and version,Combination,Char (Expansion using obfuscator),Word (Expansion using obfuscator),Line (Expansion using obfuscator),Removing redunded lines (applying de-obfuscator),line remain after de-obfuscation,percentage of increased number of lines,Removing redundant  code percentage,Obfuscator resilience percentage
27_program8,27,program8,8,program8_version_27, ifnest goto deep,47791,12950,950,130,820,2375%,14%,86%
16_program8,16,program8,8,program8_version_16, indirect goto recursive,62065,31512,1290,298,992,3225%,23%,77%
4_program8,4,program8,8,program8_version_4, switch goto recursive,44539,11985,820,199,621,2050%,24%,76%
21_program8,21,program8,8,program8_version_21, call goto deep,83874,36857,1695,419,1276,4238%,25%,75%
8_program8,8,program8,8,program8_version_8, direct goto block,29518,11925,834,212,622,2085%,25%,75%
33_program8,33,program8,8,program8_version_33, linear goto deep,53698,19191,1061,276,785,2653%,26%,74%
31_program8,31,program8,8,program8_version_31, linear goto top,53698,19191,1061,278,783,2653%,26%,74%
43_program8,43,program8,8,program8_version_43, interpolation goto top,55724,19494,1112,299,813,2780%,27%,73%
34_program8,34,program8,8,program8_version_34, linear goto recursive,54189,19237,1079,315,764,2698%,29%,71%
19_program7,19,program7,7,program7_version_19, call goto top,46981,17402,1099,325,774,2155%,30%,70%
21_program7,21,program7,7,program7_version_21, call goto deep,46981,17402,1099,325,774,2155%,30%,70%
25_program1,25,program1,1,program1_version_25, ifnest goto top,33097,9641,878,287,591,1951%,33%,67%
28_program1,28,program1,1,program1_version_28, ifnest goto recursive,33267,9664,887,290,597,1971%,33%,67%
44_program2,44,program2,2,program2_version_44, interpolation goto block,51480,20028,1407,481,926,2606%,34%,66%
9_program8,9,program8,8,program8_version_9, direct goto deep,29084,11881,816,284,532,2040%,35%,65%
46_program7,46,program7,7,program7_version_46, interpolation goto recursive,30673,12021,732,259,473,1435%,35%,65%
25_program7,25,program7,7,program7_version_25, ifnest goto top,26886,8647,626,222,404,1227%,35%,65%
13_program7,13,program7,7,program7_version_13, indirect goto top,32272,12680,709,255,454,1390%,36%,64%
26_program2,26,program2,2,program2_version_26, ifnest goto block,42515,12417,1176,433,743,2178%,37%,63%
3_program7,3,program7,7,program7_version_3, switch goto deep,25171,8026,535,204,331,1049%,38%,62%
44_program1,44,program1,1,program1_version_44, interpolation goto block,38056,14687,997,398,599,2216%,40%,60%
46_program1,46,program1,1,program1_version_46, interpolation goto recursive,38056,14687,997,398,599,2216%,40%,60%
45_program1,45,program1,1,program1_version_45, interpolation goto deep,37889,14702,989,417,572,2198%,42%,58%
10_program1,10,program1,1,program1_version_10, direct goto recursive,22295,8240,783,332,451,1740%,42%,58%
40_program2,40,program2,2,program2_version_40, binary goto recursive,50931,20004,1407,610,797,2606%,43%,57%
37_program1,37,program1,1,program1_version_37, binary goto top,37717,14694,989,439,550,2198%,44%,56%
3_program2,3,program2,2,program2_version_3, switch goto deep,38060,10977,948,431,517,1756%,45%,55%
39_program2,39,program2,2,program2_version_39, binary goto deep,50257,19915,1380,629,751,2556%,46%,54%
2_program1,2,program1,1,program1_version_2, switch goto block,30569,8662,741,342,399,1647%,46%,54%
4_program1,4,program1,1,program1_version_4, switch goto recursive,30569,8662,741,342,399,1647%,46%,54%
38_program2,38,program2,2,program2_version_38, binary goto block,50931,20004,1407,651,756,2606%,46%,54%
4_program2,4,program2,2,program2_version_4, switch goto recursive,38567,11046,975,452,523,1806%,46%,54%
19_program5,19,program5,5,program5_version_19, call goto top,87929,30478,2134,992,1142,2540%,46%,54%
